session_time_seconds,x,y
4478.620,11164.000,905.000
4478.860,11050.000,1106.000
4479.240,10927.000,1326.000
4479.420,10857.000,1451.000
4479.640,10770.000,1605.000
4479.800,10705.000,1718.000
4479.960,10639.000,1831.000
4480.260,10511.000,2044.000
4480.420,10392.000,2226.000
4480.900,10133.000,2569.000
4481.260,10012.000,2717.000
4481.400,9935.000,2812.000
4481.660,9709.000,3079.000
4482.080,9546.000,3266.000
4482.380,9370.000,3468.000
4482.560,9264.000,3590.000
4482.740,9157.000,3713.000
4482.939,8966.000,3932.000
4483.299,8823.000,4097.000
4483.519,8690.000,4250.000
4483.699,8582.000,4375.000
4483.879,8473.000,4500.000
4484.200,8278.000,4724.000
4484.440,8083.000,4948.000
4484.860,7826.000,5244.000
4485.260,7632.000,5467.000
4485.340,7583.000,5524.000
4485.660,7385.000,5751.000
4485.900,7237.000,5921.000
4486.060,7139.000,6034.000
4486.300,6991.000,6204.000
4486.500,6869.000,6345.000
4486.720,6697.000,6543.000
4487.020,6552.000,6710.000
4487.360,6369.000,6916.000
4487.420,6340.000,6948.000
4487.600,6257.000,7036.000
4487.840,6152.000,7134.000
4488.180,5994.000,7233.000
4488.380,5858.000,7270.000
4488.680,5721.000,7280.000
4489.020,5529.000,7278.000
4489.220,5416.000,7279.000
4489.380,5288.000,7287.000
4489.799,5078.000,7327.000
4489.959,4983.000,7359.000
4490.159,4867.000,7409.000
4490.279,4800.000,7445.000
4490.599,4630.000,7565.000
4490.800,4530.000,7657.000
4491.040,4340.000,7837.000
4491.320,4263.000,7892.000
4491.660,4048.000,7993.000
4491.860,3821.000,8052.000
4492.220,3647.000,8079.000
4492.420,3497.000,8094.000
4492.700,3256.000,8116.000
4493.000,3057.000,8134.000
4493.340,2764.000,8164.000
4493.380,2733.000,8167.000
4493.680,2416.000,8195.000
4494.020,2223.000,8213.000
4494.340,1963.000,8237.000
4494.420,1898.000,8243.000
4494.720,1551.000,8274.000
4495.140,1302.000,8297.000
4495.320,1150.000,8311.000
4495.540,964.000,8328.000
4495.740,726.000,8350.000
4496.039,538.000,8368.000
4496.259,349.000,8385.000
4496.499,141.000,8404.000
4496.819,-137.000,8430.000
4496.979,-398.000,8454.000
4497.400,-644.000,8476.000
4497.560,-785.000,8489.000
4497.780,-979.000,8507.000
4498.000,-1174.000,8525.000
4498.240,-1386.000,8544.000
4498.420,-1547.000,8559.000
4498.660,-1761.000,8579.000
4498.920,-1994.000,8600.000
4499.280,-2317.000,8630.000
4499.380,-2407.000,8638.000
4499.540,-2551.000,8652.000
4499.800,-2786.000,8673.000
4500.020,-2985.000,8691.000
4500.200,-3148.000,8706.000
4500.540,-3529.000,8741.000
4500.920,-3893.000,8775.000
4501.280,-4130.000,8798.000
4501.460,-4293.000,8814.000
4501.740,-4601.000,8846.000
4502.060,-4831.000,8875.000
4502.220,-4966.000,8895.000
4502.540,-5221.000,8944.000
4502.699,-5336.000,8973.000
4502.859,-5443.000,9006.000
4503.099,-5592.000,9065.000
4503.439,-5781.000,9185.000
4503.679,-5876.000,9281.000
4503.960,-5971.000,9422.000
4504.160,-6017.000,9531.000
4504.460,-6054.000,9707.000
4504.620,-6058.000,9804.000
4504.780,-6052.000,9902.000
4505.040,-6019.000,10063.000
4505.240,-5978.000,10186.000
4505.420,-5928.000,10293.000
4505.640,-5854.000,10420.000
4505.840,-5774.000,10529.000
4506.060,-5674.000,10641.000
4506.300,-5552.000,10755.000
4506.360,-5519.000,10782.000
4506.620,-5370.000,10890.000
4506.860,-5221.000,10978.000
4507.040,-5023.000,11073.000
4507.460,-4712.000,11184.000
4507.900,-4384.000,11261.000
4508.240,-4197.000,11288.000
4508.500,-3982.000,11309.000
4508.740,-3725.000,11320.000
4509.040,-3547.000,11323.000
4509.299,-3335.000,11324.000
4509.579,-3103.000,11321.000
4509.799,-2818.000,11314.000
4510.079,-2705.000,11311.000
4510.259,-2552.000,11305.000
4510.480,-2365.000,11297.000
4510.680,-2194.000,11288.000
4510.900,-2005.000,11277.000
4511.160,-1781.000,11263.000
4511.260,-1694.000,11257.000
4511.560,-1280.000,11226.000
4511.940,-1073.000,11210.000
